,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
81,Ribeira Grande,38.5167,-28.7,71.31,80,6,16.49,PT,1632266577
82,Yangambi,0.8102,24.4336,69.91,97,42,2.35,CD,1632266578
83,Saint Paul Harbor,57.79,-152.4072,51.31,25,1,34.52,US,1632266578
84,Deputatsky,69.3,139.9,31.59,65,100,2.95,RU,1632266579
85,Nikolskoye,59.7035,30.7861,43.02,82,100,5.95,RU,1632266579
86,Barcelona,41.3888,2.159,69.87,71,20,1.99,ES,1632266478
87,Sakakah,29.9697,40.2064,81.97,23,3,2.26,SA,1632266573
88,Marsá Maţrūḩ,31.3525,27.2453,77.04,82,0,10.58,EG,1632266363
89,Arraial do Cabo,-22.9661,-42.0278,71.78,88,75,28.21,BR,1632266580
90,Nome,64.5011,-165.4064,39.27,56,90,8.05,US,1632266581
91,Channel-Port aux Basques,47.5702,-59.1367,57.6,76,0,3.89,CA,1632266581
92,Cape Town,-33.9258,18.4232,55.81,72,0,3.0,ZA,1632266397
93,Brandfort,-28.7001,26.4597,38.61,71,20,11.23,ZA,1632266582
94,Ilhéus,-14.7889,-39.0494,78.62,83,0,11.5,BR,1632266582
95,Danielskuil,-28.1887,23.5395,47.46,13,0,6.69,ZA,1632266583
96,Fallon,39.4735,-118.7774,81.91,12,75,4.61,US,1632266584
97,Narutochō-mitsuishi,34.1833,134.6167,78.82,83,75,4.61,JP,1632266584
98,Codrington,-38.2667,141.9667,54.36,88,100,10.04,AU,1632266585
99,Natchitoches,31.7668,-93.1335,91.38,52,1,0.0,US,1632266585
100,Wiang Sa,8.6359,99.3666,78.42,94,87,2.98,TH,1632266585
101,Dukat,62.55,155.55,37.17,84,100,4.5,RU,1632266586
102,Port Alfred,-33.5906,26.891,56.7,75,70,5.12,ZA,1632266478
103,Waipawa,-41.4122,175.5153,54.45,87,100,4.5,NZ,1632266486
104,Havøysund,70.9963,24.6622,43.68,77,3,32.3,NO,1632266587
105,Barabai,-2.5833,115.3833,73.04,98,99,1.5,ID,1632266587
106,Poltavka,54.3663,71.7632,38.64,70,100,7.43,RU,1632266588
107,Hazorasp,41.3194,61.0742,53.44,15,3,9.4,UZ,1632266588
108,Saraland,30.8207,-88.0706,83.3,85,56,5.32,US,1632266589
109,Hamilton,39.1834,-84.5333,73.98,91,90,0.0,US,1632266431
110,Atar,20.5169,-13.0499,91.67,18,2,8.97,MR,1632266589
111,Kununurra,-15.7667,128.7333,78.78,12,100,14.97,AU,1632266474
112,Victoria Point,-27.5833,153.3,68.11,42,17,3.0,AU,1632266590
113,Kovdor,67.5662,30.4758,29.3,93,14,5.68,RU,1632266590
114,Tuatapere,-46.1333,167.6833,52.83,59,13,3.56,NZ,1632266489
115,Ulladulla,-35.35,150.4667,62.87,51,52,6.4,AU,1632266334
116,Bethel,41.3712,-73.414,70.99,86,1,0.0,US,1632266372
117,Raahe,64.6833,24.4833,30.29,84,5,11.01,FI,1632266591
118,Hong Kong,22.2855,114.1577,84.33,85,98,4.52,HK,1632266581
119,Nanzhou,29.3596,112.4024,70.83,81,0,6.76,CN,1632266592
120,Bredasdorp,-34.5322,20.0403,51.28,87,4,3.44,ZA,1632266386
121,Snezhnogorsk,69.1933,33.2531,33.58,85,5,12.03,RU,1632266593
122,Tiksi,71.6872,128.8694,34.36,71,100,2.48,RU,1632266593
123,Indiaroba,-11.5192,-37.5117,73.8,84,26,6.78,BR,1632266594
124,Sydney,-33.8679,151.2073,62.35,56,0,1.99,AU,1632266400
125,Longyearbyen,78.2186,15.6401,42.64,65,20,11.5,SJ,1632266594
126,Mataura,-46.1927,168.8643,52.48,56,27,2.86,NZ,1632266595
127,Saint-Philippe,-21.3585,55.7679,65.79,79,38,8.41,RE,1632266596
128,Okakarara,-20.5833,17.4333,66.4,19,22,5.3,NA,1632266596
129,Fushun,41.8558,123.9233,55.11,98,100,9.22,CN,1632266597
130,Sobolevo,54.4299,31.8996,40.95,98,100,9.8,RU,1632266597
131,San Cristobal,7.7669,-72.225,75.38,99,100,3.27,VE,1632266466
132,Vao,-22.6667,167.4833,71.73,79,67,10.71,NC,1632266403
133,Puerto Ayacucho,5.6639,-67.6236,78.6,84,100,1.81,VE,1632266598
134,Puerto Escondido,15.85,-97.0667,86.83,58,40,0.0,MX,1632266599
135,San Quintín,30.4833,-115.95,78.39,58,0,12.39,MX,1632266559
136,Erbil,36.1926,44.0106,80.15,20,0,1.5,IQ,1632266599
137,Preobrazheniye,42.9019,133.9064,67.15,94,70,3.24,RU,1632266600
138,Broome,42.2506,-75.833,69.71,70,90,1.01,US,1632266502
139,Santa Barbara,34.7333,-120.0343,95.34,14,1,11.5,US,1632266601
140,Spornoye,50.8448,37.2913,44.62,82,100,6.46,RU,1632266601
141,Aykhal,66.0,111.5,37.72,94,100,3.76,RU,1632266420
142,Vila,42.0304,-8.1588,52.68,82,1,3.89,PT,1632266602
143,Qaanaaq,77.484,-69.3632,11.5,71,10,7.49,GL,1632266603
144,Saint Anthony,45.0205,-93.218,64.94,52,75,5.01,US,1632266509
145,Emilio Carranza,19.9711,-96.6114,84.15,76,79,6.62,MX,1632266604
146,Sioux Lookout,50.1001,-91.917,55.78,54,40,9.22,CA,1632266488
147,Lavrentiya,65.5833,-171.0,35.55,56,21,10.8,RU,1632266604
148,Evensk,61.95,159.2333,43.23,88,100,17.02,RU,1632266605
149,Lagos,6.5833,3.75,75.58,93,100,3.4,NG,1632266508
150,Mocuba,-16.8392,36.9856,67.95,80,0,2.55,MZ,1632266605
151,Guerrero Negro,27.9769,-114.0611,80.35,57,40,13.2,MX,1632266340
152,Dikson,73.5069,80.5464,34.2,79,100,1.66,RU,1632266317
153,Yellowknife,62.456,-114.3525,50.52,76,90,12.66,CA,1632266606
154,New Norfolk,-42.7826,147.0587,63.72,63,52,1.99,AU,1632266606
155,Mossamedes,-15.1961,12.1522,62.31,88,24,1.41,AO,1632266607
156,Cherskiy,68.75,161.3,31.33,51,100,7.05,RU,1632266607
157,Grand Gaube,-20.0064,57.6608,70.2,67,4,7.0,MU,1632266608
158,Alice Springs,-23.7,133.8833,53.15,32,54,12.66,AU,1632266492
159,Esperance,-33.8667,121.9,55.24,44,1,15.28,AU,1632266608
160,Paciran,-6.8767,112.3761,78.82,80,100,6.6,ID,1632266609
161,Quatre Cocos,-20.2078,57.7625,69.91,68,12,11.9,MU,1632266609
162,Savé,8.0425,2.486,73.99,95,100,3.02,BJ,1632266610
163,San Patricio,28.017,-97.5169,91.06,50,4,14.79,US,1632266610
164,Gelibolu,40.4103,26.6708,64.26,74,37,15.93,TR,1632266611
165,Province of Mantua,45.1667,10.7833,63.64,83,1,1.99,IT,1632266611
166,Tuktoyaktuk,69.4541,-133.0374,37.4,70,90,14.97,CA,1632266612
167,Oktyabr'skiy,54.4815,53.471,48.24,46,98,4.7,RU,1632266612
168,Nāgaur,27.2,73.7333,80.58,78,94,4.25,IN,1632266613
169,Port Hardy,50.6996,-127.4199,59.18,88,90,4.61,CA,1632266496
170,Kotma,23.2,81.9667,71.89,89,12,3.44,IN,1632266613
171,Provideniya,64.3833,-173.3,33.91,60,40,13.42,RU,1632266374
172,Klaksvík,62.2266,-6.589,52.72,85,100,34.81,FO,1632266614
173,Chokurdakh,70.6333,147.9167,32.2,60,92,10.04,RU,1632266371
174,Tilichiki,60.4667,166.1,46.72,86,100,7.11,RU,1632266615
175,Folldal,62.1325,9.9968,43.12,90,100,7.94,NO,1632266318
176,Asău,46.4333,26.4,49.12,93,32,4.03,RO,1632266616
177,Hervey Bay,-25.2986,152.8535,62.71,49,0,15.1,AU,1632266593
178,Zavitinsk,50.1167,129.45,52.47,76,100,8.12,RU,1632266617
179,Rawson,-43.3002,-65.1023,63.09,29,0,23.02,AR,1632266580
180,Lompoc,34.6391,-120.4579,96.94,87,75,8.05,US,1632266617
181,Tongzi,28.7829,105.0877,72.91,90,23,1.41,CN,1632266618
182,Kruisfontein,-34.0033,24.7314,49.89,88,17,4.72,ZA,1632266618
183,Arroio Grande,-32.2375,-53.0869,50.43,85,55,6.11,BR,1632266619
184,Golden,39.7555,-105.2211,70.56,31,1,3.0,US,1632266497
185,Sur,22.5667,59.5289,86.14,62,30,8.28,OM,1632266619
186,Carnarvon,-24.8667,113.6333,59.07,72,0,6.91,AU,1632266620
187,Hambantota,6.1241,81.1185,77.34,100,73,5.75,LK,1632266620
188,Derzhavīnsk,51.1,66.3167,38.71,62,76,1.05,KZ,1632266621
189,Baiyin,36.5583,104.2081,59.88,68,100,2.73,CN,1632266621
190,Sabang,5.8933,95.3214,82.04,74,100,21.59,ID,1632266622
191,Ponta do Sol,32.6667,-17.1,72.23,72,83,5.48,PT,1632266622
192,Mount Isa,-20.7333,139.5,58.77,17,36,19.57,AU,1632266623
193,Saskylakh,71.9167,114.0833,31.95,90,100,6.87,RU,1632266624
194,Maceió,-9.6658,-35.7353,76.44,88,40,5.75,BR,1632266442
195,Saldanha,-33.0117,17.9442,48.25,77,13,10.65,ZA,1632266624
196,Galle,6.0367,80.217,79.36,85,60,12.91,LK,1632266625
197,Saint-Joseph,-21.3667,55.6167,64.78,75,18,7.18,RE,1632266625
198,Tasiilaq,65.6145,-37.6368,32.16,61,73,6.55,GL,1632266626
199,Dalbandin,28.8947,64.4101,75.54,14,0,1.25,PK,1632266626
200,Hirara,24.8,125.2833,84.47,84,40,3.44,JP,1632266519
201,Sibolga,1.7427,98.7792,74.88,82,82,3.33,ID,1632266627
202,Kloulklubed,7.0419,134.2556,81.1,72,100,5.68,PW,1632266556
203,Cidreira,-30.1811,-50.2056,57.96,66,83,13.0,BR,1632266627
204,Gazimurskiy Zavod,51.5461,118.3266,46.87,87,40,3.33,RU,1632266628
205,Iqaluit,63.7506,-68.5145,33.53,93,90,11.5,CA,1632266628
206,Hobyo,5.3505,48.5268,77.05,78,39,20.78,SO,1632266390
207,Puerto Carreño,6.189,-67.4859,79.99,80,100,4.32,CO,1632266411
208,Ust'ye,59.6304,39.736,37.54,86,100,9.78,RU,1632266528
209,Vila Franca do Campo,37.7167,-25.4333,70.21,83,13,6.64,PT,1632266629
210,Acapulco de Juárez,16.8634,-99.8901,87.62,66,75,10.36,MX,1632266630
211,Beringovskiy,63.05,179.3167,36.86,94,100,10.36,RU,1632266630
212,Egvekinot,66.3167,-179.1667,24.37,66,9,2.26,RU,1632266630
213,Senador Guiomard,-10.1522,-67.7392,74.95,40,38,5.26,BR,1632266631
214,Aripuanã,-9.1667,-60.6333,86.11,39,66,2.04,BR,1632266631
215,Salalah,17.0151,54.0924,80.69,83,75,6.91,OM,1632266632
216,Kismayo,-0.3582,42.5454,76.5,85,12,13.69,SO,1632266632
217,Karratha,-20.7377,116.8463,78.04,20,99,23.13,AU,1632266633
218,Colwyn Bay,53.2948,-3.7267,60.73,90,100,7.38,GB,1632266633
219,Sabha,27.0377,14.4283,84.25,18,0,10.71,LY,1632266634
220,Bandarbeyla,9.4942,50.8122,79.05,71,100,20.18,SO,1632266635
221,Ruteng,-8.6136,120.4721,64.26,79,96,0.89,ID,1632266635
222,Laguna,38.421,-121.4238,100.09,20,1,1.99,US,1632266585
223,Tangjiazhuang,39.7333,118.45,59.7,76,8,3.53,CN,1632266636
224,Boddam,57.4667,-1.7833,58.12,84,91,16.58,GB,1632266637
225,Port-Cartier,50.0334,-66.8654,55.62,84,95,6.89,CA,1632266637
226,Namatanai,-3.6667,152.4333,82.38,75,100,5.93,PG,1632266635
227,Black River,18.0264,-77.8487,84.2,70,30,2.35,JM,1632266638
228,Cockburn Town,21.4612,-71.1419,83.05,79,6,19.48,TC,1632266577
229,College,64.8569,-147.8028,38.59,60,90,3.44,US,1632266638
230,Kailua,21.4022,-157.7394,89.58,72,82,20.18,US,1632266639
231,Kiunga,-6.1219,141.2906,74.16,99,100,1.28,PG,1632266639
232,Waddān,29.1614,16.139,86.16,17,0,7.16,LY,1632266639
233,Kahului,20.8947,-156.47,84.22,55,40,24.16,US,1632266482
234,Camacha,33.0833,-16.3333,69.22,68,75,10.36,PT,1632266640
235,Hvide Sande,56.0045,8.1294,56.08,73,100,14.99,DK,1632266641
236,East London,-33.0153,27.9116,58.17,64,88,4.88,ZA,1632266542
237,Penzance,50.1186,-5.5371,58.21,85,96,4.68,GB,1632266642
238,Ceres,37.5949,-120.9577,100.49,22,1,5.75,US,1632266642
239,Agadez,19.75,10.25,82.65,13,72,1.45,NE,1632266642
240,Chabahar,25.2919,60.643,82.85,75,11,4.32,IR,1632266643
241,Mount Gambier,-37.8333,140.7667,53.51,94,90,9.22,AU,1632266643
242,Cayenne,4.9333,-52.3333,84.09,78,75,4.0,GF,1632266521
243,Strezhevoy,60.7333,77.5889,31.98,93,100,6.2,RU,1632266644
244,Batemans Bay,-35.7167,150.1833,60.19,48,38,2.66,AU,1632266644
245,Hithadhoo,-0.6,73.0833,82.67,76,100,15.95,MV,1632266645
246,Batagay,67.6333,134.6333,37.63,66,100,2.59,RU,1632266449
247,Vaini,-21.2,-175.2,78.96,73,20,10.36,TO,1632266461
248,Dalvik,65.9702,-18.5286,40.93,98,100,11.54,IS,1632266646
249,Cuamba,-14.8031,36.5372,70.2,47,0,4.85,MZ,1632266646
250,Sangar,63.9242,127.4739,39.34,75,79,10.8,RU,1632266646
251,Wonthaggi,-38.6044,145.5913,54.43,93,100,9.8,AU,1632266647
252,Bathsheba,13.2167,-59.5167,83.01,74,40,12.66,BB,1632266480
253,Lebu,-37.6167,-73.65,50.5,86,0,3.83,CL,1632266414
254,Sandwick,60.0,-1.25,57.02,82,90,26.46,GB,1632266493
255,Kovylkino,54.0388,43.9139,46.69,95,100,8.68,RU,1632266648
256,Vila Velha,-20.3297,-40.2925,80.55,74,0,8.05,BR,1632266625
257,Coquimbo,-29.9533,-71.3436,56.93,67,90,8.05,CL,1632266538
258,Speightstown,13.25,-59.65,83.01,67,25,12.06,BB,1632266649
259,Touros,-5.1989,-35.4608,77.9,82,14,12.37,BR,1632266472
260,Deshnok,27.7986,73.3447,83.88,66,25,8.86,IN,1632266650
261,Hartford,41.7668,-72.7662,69.87,84,1,3.44,US,1632266651
262,Kibala,9.1104,18.3463,78.75,94,20,0.0,TD,1632266651
263,Chikola,43.1906,43.9209,58.05,89,94,1.81,RU,1632266652
264,Salmo,49.1999,-117.2689,73.78,36,3,4.38,CA,1632266652
265,Roald,62.5833,6.1333,59.14,63,90,21.85,NO,1632266653
266,Kemin,42.7846,75.6892,52.65,44,0,2.77,KG,1632266653
267,Hatillo,18.4863,-66.8254,84.81,93,99,4.23,PR,1632266653
268,Taylor,32.3001,-99.8337,81.86,24,1,11.01,US,1632266484
269,Olinda,-8.0089,-34.8553,76.73,73,20,8.05,BR,1632266654
270,Pisco,-13.7,-76.2167,63.01,77,0,20.71,PE,1632266655
271,Cairns,-16.9167,145.7667,77.11,39,74,20.71,AU,1632266655
272,Loksa,59.5764,25.7214,46.72,77,85,9.24,EE,1632266655
273,Lorengau,-2.0226,147.2712,83.28,72,100,6.55,PG,1632266656
274,Inhambane,-23.865,35.3833,70.0,74,91,17.09,MZ,1632266469
275,Ulaangom,49.9811,92.0667,39.63,56,56,7.45,MN,1632266657
276,Baykit,61.67,96.37,36.54,98,100,3.85,RU,1632266487
277,Povenets,62.8487,34.8262,38.14,87,88,6.67,RU,1632266657
278,Mahabalipuram,12.6264,80.1722,78.85,75,90,11.3,IN,1632266658
279,Moba,33.2288,105.0179,57.34,98,88,3.89,CN,1632266658
280,Ilulissat,69.2167,-51.1,28.42,93,90,4.61,GL,1632266369
281,Verkhovyna,48.1557,24.7911,41.65,76,90,3.44,UA,1632266659
282,Atambua,-9.1061,124.8925,76.78,66,49,4.65,ID,1632266659
283,Arlit,18.7369,7.3853,92.79,12,2,7.67,NE,1632266660
284,Pacific Grove,36.6177,-121.9166,94.98,59,1,8.99,US,1632266660
285,Khovd,48.0056,91.6419,42.67,32,0,4.41,MN,1632266661
286,Narsaq,60.9167,-46.05,35.82,66,100,3.2,GL,1632266366
287,Tigzirt,36.8886,4.1198,69.94,77,81,6.64,DZ,1632266662
288,São Sebastião,-23.76,-45.4097,67.91,91,100,8.1,BR,1632266662
289,Sola,-13.8833,167.55,79.38,79,22,15.28,VU,1632266439
290,São Filipe,14.8961,-24.4956,79.27,81,22,7.0,CV,1632266663
291,Pangoa,-12.1167,-73.0,74.25,75,76,2.26,PE,1632266663
292,Port Lincoln,-34.7333,135.8667,55.22,74,73,5.46,AU,1632266664
293,La Santisima Trinidad,-14.8333,-64.9,76.98,94,90,6.91,BO,1632266664
294,Tabou,4.423,-7.3528,76.62,90,49,6.91,CI,1632266665
295,Saint George,37.1041,-113.5841,93.67,12,1,3.0,US,1632266665
296,Wieliczka,49.9874,20.0647,48.09,92,100,4.7,PL,1632266666
297,Berlevåg,70.8578,29.0864,40.01,76,14,30.33,NO,1632266666
298,Ixtapa,20.7,-105.2,88.83,66,40,5.75,MX,1632266666
299,Byron Bay,-28.65,153.6167,67.05,57,78,19.69,AU,1632266374
300,Yulara,-25.2406,130.9889,55.24,35,19,13.8,AU,1632266506
301,Husavik,66.0449,-17.3389,40.91,98,100,26.71,IS,1632266668
302,Caravelas,-17.7125,-39.2481,75.6,85,9,13.89,BR,1632266668
303,Aksarka,66.5606,67.7975,37.29,90,100,7.14,RU,1632266669
304,Christchurch,-43.5333,172.6333,57.9,54,100,11.01,NZ,1632266669
305,Faya,18.3851,42.4509,66.72,41,91,4.03,SA,1632266471
306,Belle Fourche,44.6714,-103.8522,70.45,17,0,9.17,US,1632266670
307,Rudnaya Pristan',44.3614,135.8116,61.12,91,99,3.56,RU,1632266670
308,Goderich,43.7501,-81.7165,70.92,83,96,6.91,CA,1632266670
309,Jalu,29.0331,21.5482,86.99,18,0,10.25,LY,1632266374
310,Pasinler,39.9803,41.6764,45.59,52,92,3.6,TR,1632266671
311,Bacalar,18.6667,-88.3833,78.91,94,75,0.0,MX,1632266672
312,Amberley,39.2048,-84.428,73.29,90,90,1.01,US,1632266672
313,Nishihara,26.1842,127.7558,83.86,89,40,8.05,JP,1632266504
314,Zhuanghe,39.7008,122.9911,61.81,84,53,11.77,CN,1632266673
315,Dryden,49.7833,-92.7503,55.69,54,40,5.75,CA,1632266675
316,Toowoomba,-27.55,151.9667,53.26,53,0,9.24,AU,1632266675
317,Choix,26.7092,-108.3219,88.81,60,100,4.29,MX,1632266677
318,Udachny,66.4167,112.4,40.24,68,100,3.24,RU,1632266677
319,Lewistown,40.5992,-77.5714,74.39,92,100,3.78,US,1632266510
320,Norfolk,42.1668,-71.2495,70.86,80,20,0.0,US,1632266630
321,Zdvinsk,54.7021,78.661,36.95,96,100,8.19,RU,1632266678
322,Padang,-0.9492,100.3543,76.37,84,95,3.42,ID,1632266678
323,Vila Nova de Milfontes,37.7238,-8.7828,68.25,46,0,6.02,PT,1632266679
324,Port Shepstone,-30.7414,30.455,62.74,66,100,6.89,ZA,1632266679
325,Zunyi,27.6867,106.9072,64.9,87,0,2.51,CN,1632266680
326,Port Macquarie,-31.4333,152.9167,58.96,54,38,15.95,AU,1632266398
327,Straumen,63.8709,11.2999,51.8,86,100,9.24,NO,1632266534
328,El Alto,-4.2714,-81.2147,65.86,79,76,20.65,PE,1632266591
329,Halifax,44.6453,-63.5724,62.65,84,1,1.99,CA,1632266412
330,Rumford,44.5537,-70.5509,65.23,91,62,4.99,US,1632266681
331,Rivadavia,-33.1905,-68.4608,64.87,48,0,18.43,AR,1632266681
332,Maple Creek,49.9168,-109.4848,73.89,20,3,9.22,CA,1632266682
333,Emerald,-23.5333,148.1667,60.94,25,0,18.41,AU,1632266682
334,Kawalu,-7.3817,108.2082,70.75,94,100,1.54,ID,1632266683
335,Sitka,57.0531,-135.33,55.29,76,90,16.11,US,1632266683
336,Cabo San Lucas,22.8909,-109.9124,92.61,74,40,5.75,MX,1632266684
337,Iranshahr,27.2025,60.6848,85.84,42,4,4.7,IR,1632266684
338,Kushima,31.4583,131.2333,78.84,85,48,3.96,JP,1632266685
339,Miandrivazo,-19.5167,45.4667,73.74,78,52,1.81,MG,1632266685
340,Najrān,17.4924,44.1277,74.05,33,62,8.23,SA,1632266686
341,Khatanga,71.9667,102.5,34.43,82,72,11.7,RU,1632266425
342,Moerai,-22.4333,-151.3333,75.22,75,89,7.2,PF,1632266550
343,Tayshet,55.9342,98.0044,31.05,93,33,4.72,RU,1632266687
344,Ţahţā,26.7693,31.5021,85.28,25,0,7.9,EG,1632266687
345,Eyl,7.9803,49.8164,77.61,72,74,18.77,SO,1632266688
346,Ovsyanka,55.9575,92.5519,36.57,96,95,6.98,RU,1632266688
347,Rio Claro,-22.4114,-47.5614,75.02,69,68,15.61,BR,1632266394
348,Yumaguzino,52.9041,56.3933,45.52,49,99,4.52,RU,1632266689
349,Kouqian,43.6391,126.4578,55.0,93,100,6.08,CN,1632266689
350,Northam,51.0333,-4.2167,56.71,95,100,1.74,GB,1632266626
351,Forsytheganj,52.6333,29.7333,39.97,97,100,10.47,BY,1632266690
352,Slavutych,51.5196,30.7343,42.21,99,100,5.01,UA,1632266690
353,Talcahuano,-36.7167,-73.1167,55.08,82,90,6.91,CL,1632266690
354,Bulungu,-4.55,18.6,79.72,48,44,1.99,CD,1632266691
355,Māndalgarh,25.2,75.1,74.16,94,97,4.5,IN,1632266691
356,Baghdad,33.3406,44.4009,82.31,34,0,6.91,IQ,1632266462
